-2.67,-0.02,0.40,2.30,-0.15,-2.60,57 
-2.66,-0.01,0.41,2.30,-0.15,-2.60,57 
-2.66,-0.07,0.41,2.28,-0.15,-2.60,57 
-2.70,-0.10,0.38,2.33,-0.16,-2.59,57 
-2.69,-0.08,0.39,2.35,-0.16,-2.59,57 
-2.66,-0.06,0.42,2.30,-0.16,-2.58,57 
-2.67,-0.06,0.47,2.31,-0.16,-2.58,57 
-2.67,-0.08,0.47,2.31,-0.16,-2.58,57 
-2.66,-0.10,0.47,2.30,-0.16,-2.58,57 
-2.67,-0.13,0.55,2.30,-0.16,-2.58,57 
-2.68,-0.15,0.65,2.32,-0.16,-2.58,57 
-2.64,-0.24,0.82,2.29,-0.16,-2.58,57 
-2.62,-0.39,0.84,2.27,-0.16,-2.59,57 
-2.63,-0.60,0.82,2.26,-0.16,-2.59,57 
-2.63,-0.81,0.84,2.26,-0.16,-2.59,57 
-2.65,-1.00,0.89,2.28,-0.17,-2.60,57 
-2.66,-1.28,0.81,2.31,-0.17,-2.61,57 
-2.66,-1.57,0.70,2.32,-0.17,-2.61,57 
-2.65,-1.86,0.42,2.29,-0.17,-2.62,57 
-2.65,-2.11,0.29,2.30,-0.17,-2.62,57 
-2.64,-2.32,0.07,2.30,-0.17,-2.62,57 
-2.62,-2.50,-0.03,2.28,-0.17,-2.62,57 
-2.63,-2.70,-0.15,2.28,-0.17,-2.62,57 
-2.64,-2.86,-0.31,2.31,-0.18,-2.62,57 
-2.65,-3.02,-0.39,2.31,-0.18,-2.61,57 
-2.64,-3.15,-0.47,2.31,-0.18,-2.61,57 
-2.65,-3.30,-0.52,2.33,-0.18,-2.62,57 
-2.62,-3.51,-0.75,2.31,-0.18,-2.62,57 
-2.60,-3.73,-0.90,2.29,-0.18,-2.63,57 
-2.57,-3.91,-1.03,2.27,-0.18,-2.63,57 
-2.57,-4.06,-1.23,2.24,-0.18,-2.63,57 
-2.57,-4.19,-1.29,2.25,-0.18,-2.63,57 
-2.56,-4.36,-1.48,2.22,-0.18,-2.64,57 
-2.56,-4.54,-1.59,2.22,-0.19,-2.64,57 
