-2.58,0.07,0.57,2.24,57 
-2.59,0.08,0.58,2.26,57 
-2.59,0.09,0.60,2.25,57 
-2.58,0.09,0.59,2.24,57 
-2.59,0.09,0.59,2.25,57 
-2.57,0.08,0.57,2.23,57 
-2.56,0.09,0.58,2.21,57 
-2.59,0.09,0.57,2.25,57 
-2.57,0.09,0.56,2.23,57 
-2.57,0.09,0.56,2.21,57 
-2.59,0.08,0.55,2.26,57 
-2.58,0.08,0.54,2.25,57 
-2.56,0.09,0.55,2.21,57 
-2.60,0.09,0.56,2.26,57 
-2.60,0.09,0.56,2.27,57 
-2.57,0.11,0.58,2.22,57 
-2.59,0.10,0.58,2.26,57 
-2.60,0.10,0.56,2.27,57 
-2.57,0.10,0.56,2.23,57 
-2.59,0.10,0.56,2.26,57 
-2.60,0.10,0.55,2.28,57 
-2.58,0.11,0.56,2.24,57 
-2.59,0.11,0.57,2.26,57 
-2.61,0.11,0.57,2.29,57 
-2.60,0.11,0.57,2.26,57 
-2.60,0.11,0.57,2.26,57 
-2.61,0.10,0.56,2.28,57 
-2.59,0.11,0.56,2.25,57 
-2.61,0.11,0.57,2.27,57 
-2.62,0.11,0.56,2.29,57 
-2.61,0.11,0.56,2.28,57 
-2.62,0.11,0.56,2.28,57 
-2.62,0.10,0.54,2.29,57 
-2.62,0.10,0.55,2.28,57 
-2.62,0.09,0.54,2.28,57 
-2.62,0.09,0.53,2.29,57 
-2.61,0.09,0.53,2.27,57 
-2.62,0.09,0.53,2.28,57 
-2.62,0.09,0.53,2.29,57 
-2.62,0.09,0.52,2.28,57 
-2.62,0.09,0.51,2.28,57 
-2.63,0.09,0.52,2.30,57 
-2.62,0.08,0.51,2.29,57 
-2.63,0.08,0.51,2.29,57 
-2.64,0.08,0.51,2.31,57 
-2.63,0.09,0.52,2.30,57 
-2.63,0.07,0.50,2.28,57 
-2.63,0.10,0.58,2.30,57 
-2.62,0.09,0.58,2.28,57 
-2.62,0.11,0.58,2.28,57 
-2.62,0.11,0.58,2.28,57 
-2.63,0.11,0.58,2.28,57 
-2.64,0.11,0.58,2.31,57 
-2.62,0.11,0.57,2.28,57 
-2.63,0.11,0.57,2.30,57 
-2.63,0.11,0.57,2.29,57 
-2.63,0.11,0.56,2.29,57 
-2.64,0.11,0.56,2.31,57 
-2.64,0.11,0.55,2.31,57 
-2.64,0.12,0.56,2.31,57 
-2.65,0.12,0.56,2.32,57 
